id,fecha,gobierno,eje_tematico,decision_evento,resumen,link,fuente_secundaria,tipo_fuente,actor_declarante,estado_evento
1,2026-07-06,Abelardo Electo,Política Comercial,El presidente electo Abelardo De La Espriella dialogó con el primer ministro de Suecia sobre comercio y fortalecimiento de la relación bilateral,"De La Espriella sostuvo una conversación telefónica con el primer ministro del Reino de Suecia, Ulf Kristersson, en la que abordaron temas relacionados con el fortalecimiento de las relaciones bilaterales, el comercio y nuevas oportunidades de cooperación entre ambos países",https://defensoresdelapatria.com/el-presidente-electo-abelardo-de-la-espriella-dialogo-con-el-primer-ministro-de-suecia-sobre-comercio-y-fortalecimiento-de-la-relacion-bilateral/,,Fuente propia/movimiento,Página web de Defensores de la Patria,Evaluación/Declaración
2,2026-07-18,Abelardo Electo,Multilateralismo,El vicepresidente electo José Manuel Restrepo avanza con Google una agenda para convertir a Colombia en potencia tecnológica,"Durante el encuentro con en Google con Karan Bhatia, Global Head of Government Affairs & Public Policy, se establecieron las bases para construir una hoja de ruta conjunta que permita a Google acompañar esta etapa de transición y abrir oportunidades de cooperación en inteligencia artificial, ciencia de datos, transformación digital, formación de talento joven e innovación.",https://defensoresdelapatria.com/el-vicepresidente-electo-jose-manuel-restrepo-avanza-con-google-una-agenda-para-convertir-a-colombia-en-potencia-tecnologica/,,Fuente propia/movimiento,Página web de Defensores de la Patria,Evaluación/Declaración
3,2026-06-27,Abelardo Electo,Multilateralismo,BID respalda la transición del presidente electo Abelardo De La Espriella con cooperación por 60 millones de dólares,"Durante la conversación, el BID manifestó su compromiso de apoyar a Colombia con 60 millones de dólares en cooperación, recursos que no son reembolsables y estarán orientados a fortalecer el proceso de transición de gobierno y brindar acompañamiento técnico en la etapa inicial de la nueva administración",https://defensoresdelapatria.com/bid-respalda-la-transicion-del-presidente-electo-abelardo-de-la-espriella-con-cooperacion-por-60-millones-de-dolares/,,Fuente propia/movimiento,Página web de Defensores de la Patria,Evaluación/Declaración
4,2026-07-28,Abelardo Electo,Multilateralismo,Gobierno de Abelardo De La Espriella fusionará representaciones diplomáticas,"La administración de la Espriella adelantará un proceso de integración de varias representaciones diplomáticas colombianas.Entre las medidas contempladas se encuentra la unificación de la Embajada de Colombia en Francia con la misión permanente ante la UNESCO en París. De igual forma, se integrarán la Embajada de Colombia en Italia y la representación ante la Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO) en Roma.",https://defensoresdelapatria.com/gobierno-de-abelardo-de-la-espriella-fusionara-representaciones-diplomaticas-para-hacer-mas-eficiente-el-servicio-exterior/,,Fuente propia/movimiento,Página web de Defensores de la Patria,Evaluación/Declaración
5,2026-07-16,Abelardo Electo,Alineamiento Geopolítico,Gobierno entrante de Abelardo De La Espriella restablecerá la alianza histórica entre Colombia e Israel,"El acuerdo contempla el intercambio inmediato de embajadores, la eliminación recíproca de visas y el avance para la apertura de la Embajada de Colombia en Jerusalén",https://defensoresdelapatria.com/gobierno-entrante-de-abelardo-de-la-espriella-restablecera-la-alianza-historica-entre-colombia-e-israel/,,Fuente propia/movimiento,Página web de Defensores de la Patria,Evaluación/Declaración
6,2026-07-28,Abelardo Electo,Alineamiento Geopolítico,La Patria ¨Milagro¨ no mantendrá relaciones diplomáticas con Cuba ni Nicaragua,"La administración de la Espriella señaló que no mantendra  vínculos diplomáticos con Cuba y Nicaragua , al considerarlos  régiens opuestos a los preceptos de la nueva autoridad de gobierno.",https://defensoresdelapatria.com/la-patria-milagro-no-mantendra-relaciones-diplomaticas-con-cuba-ni-nicaragua/,,Fuente propia/movimiento,Página web de Defensores de la Patria,Evaluación/Declaración
7,2026-07-29,Abelardo Electo,Multilateralismo,Ministra designada de TIC Alexandra Falla fortalece alianza digital con el Reino Unido,"La agenda tuvó como propósito trazar una hoja de ruta conjunta en materia de telecomunicaciones y transformación digital. Además, se abordaron temas relacionados con capacitación, talento digital y bilingüismo.",https://defensoresdelapatria.com/ministra-designada-de-tic-alexandra-falla-fortalece-alianza-digital-con-el-reino-unido/,,Fuente propia/movimiento,Página web de Defensores de la Patria,Evaluación/Declaración
8,2026-07-15,Abelardo Electo,Alineamiento Geopolítico,Traslado de embajada Colombiana a Jerusalén,"Gideon Sa'ar Ministro de Asuntos Exteriores de Israel, declaro por su cuenta de twitter que en la reunion con El Ministro de Relaciones Exteriores de Colombia, Omar Bula Escobar en Washingtown el pasado 15 de Julio que ambos países nombrarán de inmediato a sus respectivos embajadores, y Colombia abrirá su embajada en Jerusalén, ¨Israel¨.",https://x.com/gidonsaar/status/2077477665817157841?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E2077477665817157841%7Ctwgr%5Eead19aa511a4b6ae54aac81ddaf0c5d9d152ff1c%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.elcolombiano.com%2Fcolombia%2Fcolombia-israel-eliminan-visa-CE40116206,,Declaración en redes sociales,"Gideon Sa’ar, ministro de Relaciones Exteriores de Israel en su cuenta de X",Evaluación/Declaración
9,2026-07-28,Abelardo Electo,Multilateralismo,Gobierno de Abelardo De La Espriella iniciará cierre de embajadas para reducir gastos y modernizar la diplomacia colombiana,"El proceso incluirá el cierre de cerca de quince consulados que serán objeto de evaluación administrativa y técnica. El presidente electo precisó que estas decisiones no implican una ruptura de relaciones diplomáticas con la mayoría de los países involucrados ni con los organismos multilaterales. Colombia mantendrá su presencia internacional mediante mecanismos de representación concurrente desde otras sedes diplomáticas de la región, garantizando la atención a los connacionales y la continuidad de las relaciones exteriores. La única excepción corresponderá a Cuba y Nicaragua, frente a cuyos regímenes el nuevo gobierno ha anunciado una posición de total distancia institucional.",https://defensoresdelapatria.com/gobierno-de-abelardo-de-la-espriella-iniciara-cierre-de-embajadas-para-reducir-gastos-y-modernizar-la-diplomacia-colombiana/,,Fuente propia/movimiento,Página web de Defensores de la Patria,Evaluación/Declaración
10,2026-07-09,Abelardo Electo,Multilateralismo,Presidente electo Abelardo De La Espriella dialogó con el embajador de Japón para impulsar una agenda de cooperación entre ambas naciones,"Durante el encuentro se revisaron oportunidades para ampliar, diversificar y profundizar la cooperación bilateral, abrir nuevas oportunidades de inversión, fortalecer la confianza internacional, promover el turismo, abrir nuevos mercado",https://defensoresdelapatria.com/presidente-electo-abelardo-de-la-espriella-dialogo-con-el-embajador-de-japon-para-impulsar-una-agenda-de-cooperacion-entre-ambas-naciones/,,Fuente propia/movimiento,Página web de Defensores de la Patria,Evaluación/Declaración
