id,fecha,gobierno,eje_tematico,decision_evento,resumen,link,fuente_secundaria,tipo_fuente,actor_declarante,estado_evento
1,2026-08-10,Abelardo Presidente,Alineamiento Geopolítico,Colombia reconoce la soberanía de Israel sobre los Altos del Golán,"Colombia reconocio la soberania Israeli sobre los altos del Golan, argumentando su relevancia para la defensa nacional y la protección de su población.",https://www.cancilleria.gov.co/sala-de-prensa/noticias/colombia-reconoce-la-soberania-de-israel-sobre-los-altos-del-golan,,Comunicado oficial,Cancilleria Colombiana,Hecho consumado
2,2026-08-07,Abelardo Presidente,Alineamiento Geopolítico,Restablecimiento de relaciones diplomaticas y comerciales entre Colombia e Israel,"El Ministro de Relaciones Exteriores de Colombia, Omar Bula Escobar en su reunion con Gideon Sa'ar Ministro de Asuntos Exteriores de Israel, acordaron restablecer las relaciones diplomáticas y comerciales. A la vez de la eliminación de visado  entre los dos paises a partir del 1 de septiembre",https://x.com/gidonsaar/status/2077477665817157841?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E2077477665817157841%7Ctwgr%5Eead19aa511a4b6ae54aac81ddaf0c5d9d152ff1c%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.elcolombiano.com%2Fcolombia%2Fcolombia-israel-eliminan-visa-CE40116206,https://x.com/IsraelinSpanish/status/2090334093560914121?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E2090334093560914121%7Ctwgr%5Eead19aa511a4b6ae54aac81ddaf0c5d9d152ff1c%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.elcolombiano.com%2Fcolombia%2Fcolombia-israel-eliminan-visa-CE40116206,Declaración en redes sociales,"Gideon Sa’ar, ministro de Relaciones Exteriores de Israel y La Cuenta Oficial de X del Estado de Israel en Español.",Evaluación/Declaración
3,2026-08-10,Abelardo Presidente,Alineamiento Geopolítico,Gestión de ofertas internacionales de ayuda humanitaria tras terremoto del 10 de agosto en Chocó,"Varios países ofrecieron ayuda humanitaria, y hubo fricción pública sobre cómo el gobierno gestionó esas ofertas; con algunos países señalando que Colombia no aceptó apoyo ofrecido.",https://periodico.unal.edu.co/articulos/desafios-porresolver-en-la-recepcion-de-ayuda-humanitaria-internacional-y-en-lareconstruccion-por-el-terremoto,https://www.instagram.com/reel/Db_qN19jODS/,Artículo de prensa,"Juan Lozano, Profesor de la Facultad de Derecho, Ciencias Políticas y Sociales de la Universidad Nacional de Colombia (UNAL)",Hecho consumado
4,2026-08-21,Abelardo Presidente,Alineamiento Geopolítico,"Colombia recibe a nuevos embajadores de India, El Salvador, Israel y Kosovo","Colombia recibe cartas credenciales de varios paises, entre ellos Israel, reflejando un restablecimiento formal de relaciones diplomáticas entre estos",https://www.cancilleria.gov.co/sala-de-prensa/noticias/colombia-recibe-nuevos-embajadores-de-india-el-salvador-israel-y-kosovo,,Comunicado oficial,Cancilleria Colombiana,Hecho consumado
5,2026-08-12,Abelardo Presidente,Alineamiento Geopolítico,Colombia autoriza operaciones militares conjuntas con Estados Unidos en territorio Colombiano,"Colombia autorizó a Estados Unidos realizar operaciones militares conjuntas en ""su lucha"" contra el narcotráfico, informó  el secretario de Defensa estadounidense, Pete Hegseth.",https://www.dw.com/es/colombia-autoriza-operaciones-militares-con-estados-unidos/a-78344299,,Artículo de prensa,Deutsche Welle,Hecho consumado
6,2026-08-12,Abelardo Presidente,Multilateralismo,Colombia ingresa a el escudo de las Américas y fortalece cooperación militar con Estados Unidos,"Colombia ingresa a la Coalición A3C para fortalecer y acelerar los planes y operaciones conjuntas con Estados Unido, contra las redes del narcotráfico y el narcoterrorismo en la región.",https://x.com/mindefensa/status/2087681987054301271/video/1?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E2087681987054301271%7Ctwgr%5E9c2ae25a999c2aa6923c53844eee07f5881784e9%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.lafm.com.co%2Forden-publico%2Fcolombia-ingresa-al-escudo-de-las-americas-y-fortalece-cooperacion-militar-con-estados-unidos-407717,https://co.usembassy.gov/es/comandante-del-comando-sur-de-ee-uu-southcom-concluye-visita-acolombia-para-reforzar-la-lucha-conjunta-contra-el-narcoterrorismo/,Comunicado oficial,Mnisterio de Defensa de Colombia,Hecho consumado
7,2026-09-03,Abelardo Presidente,Multilateralismo,"El FBI, la Policía y el Ejército incautaron explosivos en Charta, Santander","Operación conjunta entre ejercito, Policia y FBI  para localizar y destruir 200-250 kg de explosivos en Bucaramanga, Santander, por medio dela detonación de 5 tanques ocultos.",https://x.com/USEmbassyBogota/status/2095561686774165936,,Artículo de prensa,Embajada de Estados Unidos en Colombia a través de su cuenta de X,Hecho consumado
8,2026-09-04,Abelardo Presidente,Multilateralismo,Operación conjunta entre Estados Unidos y Colombia termina en captura de cabecillas del tren de aragua,"La operación conjunta entre la Policía Nacional, Gaula, Fiscalía y la DEA logró la  Captura de alias “Coty” y alias “Patón”, requeridos por la Interpol",https://x.com/USEmbassyBogota/status/2095949077955678597,,Declaración en redes sociales,Embajada de Estados Unidos en Colombia a través de su cuenta de X,Hecho consumado
9,2026-08-25,Abelardo Presidente,Multilateralismo,La posibilidad de un retiro de Colombia de Corte Penal Internacional,,https://www.dw.com/es/salida-de-colombia-de-la-cpi-ser%C3%ADa-un-gran-rev%C3%A9s-para-las-v%C3%ADctimas-de-cr%C3%ADmenes-de-lesa-humanidad/a-78501920,,Artículo de prensa,Deutsche Welle,Evaluación/Declaración
10,2026-08-26,Abelardo Presidente,Alineamiento Geopolítico,Presidente De La Espriella autorizó extradición de cinco exnegociadores de paz,"De la Espriella acuerda la entrega de cinco ciudadanos colombianos solicitadas por autoridades judiciales en los Estados Unidos por graves delitos. Cuyas extradiciones ya estaban autorizadas por el Gobierno Nacional desde 2025, pero permanecían suspendidas debido a su participación en distintos procesos de paz con la administración anterior.",https://www.presidencia.gov.co/prensa/Paginas/Presidente-De-La-Espriella-autorizo-extradicion-de-cinco-exnegociadores-260826.aspx,,Comunicado oficial,Presidencia Colombia,Hecho consumado
11,2026-08-21,Abelardo Presidente,Política Comercial,Gobierno Nacional avanza en gestiones con Estados Unidos para lograr alivios arancelarios que protejan a los productores colombianos,"De La Espriella, sostuvo una conversación telefónica con el secretario de Estado de los Estados Unidos, Marco Rubio, en la que reiteró su solicitud de suspensión temporal de los aranceles que afectan a los productos colombianos, en el marco de la emergencia generada por el terremoto del pasado 10 de agosto.",https://defensoresdelapatria.com/gobierno-nacional-avanza-en-gestiones-con-estados-unidos-para-lograr-alivios-arancelarios-que-protejan-a-los-productores-colombianos/,,Fuente propia/movimiento,Página web de Defensores de la Patria,Evaluación/Declaración
